nivel;distrito;concelho;freguesia;dicofre;brasao
3;Aveiro;Águeda;Aguada de Cima;010103;https://dados.gov.pt/s/brasoes/010103.png
3;Aveiro;Águeda;Fermentelos;010109;https://dados.gov.pt/s/brasoes/010109.png
3;Aveiro;Águeda;Macinhata do Vouga;010112;https://dados.gov.pt/s/brasoes/010112.png
3;Aveiro;Águeda;Valongo do Vouga;010119;https://dados.gov.pt/s/brasoes/010119.png
3;Aveiro;Águeda;União das freguesias de Águeda e Borralha;010121;https://dados.gov.pt/s/brasoes/010121.png
3;Aveiro;Águeda;União das freguesias de Barrô e Aguada de Baixo;010122;
3;Aveiro;Águeda;União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;010123;
3;Aveiro;Águeda;União das freguesias de Recardães e Espinhel;010124;
3;Aveiro;Águeda;União das freguesias de Travassô e Óis da Ribeira;010125;
3;Aveiro;Águeda;União das freguesias de Trofa, Segadães e Lamas do Vouga;010126;
3;Aveiro;Águeda;União das freguesias do Préstimo e Macieira de Alcoba;010127;
3;Aveiro;Albergaria-a-Velha;Alquerubim;010202;https://dados.gov.pt/s/brasoes/010202.png
3;Aveiro;Albergaria-a-Velha;Angeja;010203;https://dados.gov.pt/s/brasoes/010203.png
3;Aveiro;Albergaria-a-Velha;Branca;010204;https://dados.gov.pt/s/brasoes/010204.png
3;Aveiro;Albergaria-a-Velha;Ribeira de Fráguas;010206;https://dados.gov.pt/s/brasoes/010206.png
3;Aveiro;Albergaria-a-Velha;Albergaria-a-Velha e Valmaior;010209;
3;Aveiro;Albergaria-a-Velha;São João de Loure e Frossos;010210;
3;Aveiro;Anadia;Avelãs de Caminho;010304;https://dados.gov.pt/s/brasoes/010304.png
3;Aveiro;Anadia;Avelãs de Cima;010305;https://dados.gov.pt/s/brasoes/010305.png
3;Aveiro;Anadia;Moita;010307;https://dados.gov.pt/s/brasoes/010307.png
3;Aveiro;Anadia;Sangalhos;010309;https://dados.gov.pt/s/brasoes/010309.png
3;Aveiro;Anadia;São Lourenço do Bairro;010310;https://dados.gov.pt/s/brasoes/010310.png
3;Aveiro;Anadia;Vila Nova de Monsarros;010312;https://dados.gov.pt/s/brasoes/010312.png
3;Aveiro;Anadia;Vilarinho do Bairro;010313;https://dados.gov.pt/s/brasoes/010313.png
3;Aveiro;Anadia;União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas;010316;
3;Aveiro;Anadia;União das freguesias de Arcos e Mogofores;010317;
3;Aveiro;Anadia;União das freguesias de Tamengos, Aguim e Óis do Bairro;010318;
3;Aveiro;Arouca;Alvarenga;010402;https://dados.gov.pt/s/brasoes/010402.png
